"","bmcat","efscience_identity","efSCIENCE_SELF_EFFICACY","efscicareer","ApproxAge","Female","LGBTQ","ANATENGSP","notfincon","PELL","ASIAN","BLACK","HISPANIC","OTHER","HBCU","MSI","intact1","intact7","affact2","insopn10","insopn19","insopn21","insopn14","cmp08","affact9","insopn92","degree"
"1","Never",NA,NA,NA,19,1,0,NA,0,0,0,1,0,0,0,1,NA,NA,"1","4",NA,4,NA,6,"1",4,6
"2","Never",70.79,69.74,4,18,1,0,2,0,1,0,1,0,0,0,0,"2","4","2","2",3,3,3,4,"1",3,7
"3","Never",59.5,54.86,4,17,1,1,2,0,0,0,0,0,1,0,0,"3","3","1","3",3,3,3,5,"1",3,5
"4","Never",57.91,44.21,3,18,0,0,2,0,1,0,1,0,0,0,0,"2","2","2","3",3,3,3,5,"1",2,5
"5","Never",59.35,58.57,5,18,1,0,2,0,0,0,1,0,0,0,0,"3","6","1","3",3,3,3,5,"3",3,6
"6","Never",62.59,65.45,4,18,0,0,2,0,1,0,0,0,1,0,0,"2","5","2","3",4,4,4,5,"2",4,7
"7","Never",59.5,55.16,4,18,1,0,2,0,0,0,0,1,0,0,0,"2","2","1","4",2,4,4,6,"2",3,7
"8","Never",61.82,53.84,4,18,0,0,2,0,1,0,0,0,0,0,0,"3","4","2","3",4,3,3,5,"1",4,5
"9","Never",64.91,66.26,4,18,1,0,2,0,0,0,0,0,1,0,0,"2","2","2","4",3,3,3,5,"1",2,7
"10","Never",68.09,64.84,5,18,1,0,2,0,0,0,0,0,1,0,0,"2","4","2","3",3,3,3,5,"1",3,6
"11","Persistence",59.5,54.27,5,18,1,0,2,0,0,0,1,0,0,0,0,"2","1","1","3",3,3,3,5,"1",3,5
"12","Never",60.27,44.98,4,19,1,0,2,0,1,0,1,0,0,0,0,"2","2","1","1",3,3,3,4,"2",2,6
"13","To",68.09,58.7,5,18,1,0,2,0,1,0,1,0,0,0,0,"5","5","1","3",3,3,4,3,"1",3,7
"14","Never",70.79,64.47,5,19,0,0,2,0,1,0,0,0,0,0,0,"4","3","2","3",4,4,4,5,"1",3,6
"15","Never",70.79,72.43,5,18,1,0,2,0,1,0,0,0,0,0,0,"4","3","2","3",3,3,3,3,"2",3,7
"16","Never",62.59,63.84,5,18,0,0,2,0,1,0,0,0,0,0,0,"2","5","2","3",4,4,2,6,"3",3,7
"17","Never",62.59,57.3,3,NA,1,0,2,0,1,0,0,1,0,0,0,"4","4","1","3",3,3,4,5,"1",3,7
"18","Never",70.79,62.12,5,18,1,0,2,0,1,0,0,0,0,0,0,"5","2","2","3",3,3,4,5,"2",3,7
"19","Never",60.27,65.41,4,18,0,0,2,0,0,0,1,0,0,0,0,"3","1","1","3",2,2,2,4,"1",3,5
"20","Never",70.79,63.15,4,19,0,0,1,0,0,0,0,1,0,0,0,"4","5","1","4",4,3,4,5,"2",4,7
"21","Never",59.5,52.35,5,18,1,0,2,0,0,0,0,0,1,0,0,"2","4","1","3",3,3,3,5,"2",3,6
"22","Never",52.52,41.52,3,18,1,0,2,0,0,0,1,0,0,0,0,"2","1","1","3",3,3,1,5,"1",2,7
"23","Never",70.79,66.23,5,18,0,0,2,0,0,0,0,0,1,0,0,"2","5","1","4",4,4,4,6,"1",4,6
"24","Persistence",59.5,55.65,5,19,1,0,2,0,1,0,0,0,1,0,1,"3","5","2","3",3,3,3,5,"2",3,8
"25","To",56.77,48.95,4,NA,0,0,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Never",70.79,45.08,5,18,1,0,1,0,1,0,0,1,0,0,1,NA,"2","1","3",3,3,3,6,NA,3,7
"27","Never",57.22,52.84,4,18,1,0,2,0,0,0,0,0,1,0,1,"2","2","1","3",2,3,3,5,"2",2,8
"28","Never",70.79,49.53,3,19,0,0,2,0,0,0,0,1,0,0,1,"2","3","1","4",3,3,4,5,NA,4,7
